대단원	중단원	소단원	상타	중타	하타	Chunk
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	2 뿔과 구의 겉넓이와 부피	1. 뿔의 겉넓이와 부피 	⑴뿔의겉넓이  	⑴뿔의겉넓이  	⑴뿔의겉넓이  
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	2 뿔과 구의 겉넓이와 부피	1. 뿔의 겉넓이와 부피 	⑴뿔의겉넓이  	⑴뿔의겉넓이  	① 각뿔의겉넓이    (각뿔의겉넓이)=(밑넓이)+(옆넓이)(뿔대의 겉넓이)=(두 밑면의 넓이의 합)+(옆넓이)  
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	2 뿔과 구의 겉넓이와 부피	1. 뿔의 겉넓이와 부피 	⑴뿔의겉넓이  	⑴뿔의겉넓이  	② 원뿔의겉넓이    밑 면인원의반지름의길이가r이고모선의길이가l인원뿔의겉넓이S는      S=(밑넓이)+(옆넓이)=prÛ`+prlll2πrrr참고 원뿔의 모선의 길이는 부채꼴의 반지름의 길이와 같고,밑면인 원의 둘레의 길이는 부채꼴의 호의 길이와 같다. 
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	2 뿔과 구의 겉넓이와 부피	1. 뿔의 겉넓이와 부피 	⑵뿔의부피  	⑵뿔의부피  	⑵뿔의부피  
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	2 뿔과 구의 겉넓이와 부피	1. 뿔의 겉넓이와 부피 	⑵뿔의부피  	⑵뿔의부피  	① 각뿔의부피    밑넓이가S이고높이가h인각뿔의부피
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	2 뿔과 구의 겉넓이와 부피	1. 뿔의 겉넓이와 부피 	⑵뿔의부피  	⑵뿔의부피  	V는      
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	2 뿔과 구의 겉넓이와 부피	1. 뿔의 겉넓이와 부피 	⑵뿔의부피  	⑵뿔의부피  	V=;3;! ×(밑넓이)×(높이)=;3!;Sh  
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	2 뿔과 구의 겉넓이와 부피	1. 뿔의 겉넓이와 부피 	⑵뿔의부피  	⑵뿔의부피  	② 원뿔의부피    밑면인원의반지름의길이가r이고높이가h인원뿔의부피
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	2 뿔과 구의 겉넓이와 부피	1. 뿔의 겉넓이와 부피 	⑵뿔의부피  	⑵뿔의부피  	V는     
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	2 뿔과 구의 겉넓이와 부피	1. 뿔의 겉넓이와 부피 	⑵뿔의부피  	⑵뿔의부피  	V=;3;! ×(밑넓이)×(높이)=;3;! prÛ`h  참고 (뿔의 부피)=;3!;×(기둥의 부피)hShr
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	2 뿔과 구의 겉넓이와 부피	2. 구의 겉넓이와 부피 반지름의길이가r인구의겉넓이를S,부피를	⑵뿔의부피  	⑵뿔의부피  	V라고 하면  
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	2 뿔과 구의 겉넓이와 부피	2. 구의 겉넓이와 부피 반지름의길이가r인구의겉넓이를S,부피를	⑵뿔의부피  	⑵뿔의부피  	①S=4prÛ` 
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	2 뿔과 구의 겉넓이와 부피	2. 구의 겉넓이와 부피 반지름의길이가r인구의겉넓이를S,부피를	⑵뿔의부피  	⑵뿔의부피  	②
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	2 뿔과 구의 겉넓이와 부피	2. 구의 겉넓이와 부피 반지름의길이가r인구의겉넓이를S,부피를	⑵뿔의부피  	⑵뿔의부피  	V=;3$;prÜ`참고 (구의 부피)=;3;@ ×(원기둥의 부피)r(부채꼴의 넓이)=;2;! ×(반지름의 길이)×(호의 길이)=;2!;×l×2pr=prl뿔대의부피(뿔대의 부피)=(큰 뿔의 부피)=-(작은 뿔의 부피)
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	2 뿔과 구의 겉넓이와 부피	2. 구의 겉넓이와 부피 반지름의길이가r인구의겉넓이를S,부피를	⑵뿔의부피  	⑵뿔의부피  	① 각뿔대=
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	2 뿔과 구의 겉넓이와 부피	2. 구의 겉넓이와 부피 반지름의길이가r인구의겉넓이를S,부피를	⑵뿔의부피  	⑵뿔의부피  	② 원뿔대-=-반지름의길이가r인반구의겉넓이와부피
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	2 뿔과 구의 겉넓이와 부피	2. 구의 겉넓이와 부피 반지름의길이가r인구의겉넓이를S,부피를	⑵뿔의부피  	⑵뿔의부피  	•(반구의 겉넓이)=(구의 겉넓이)×;2!; +(밑면의 겉넓이)=4prÛ`×;2!;+pr`Û =3pr`Û
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	2 뿔과 구의 겉넓이와 부피	2. 구의 겉넓이와 부피 반지름의길이가r인구의겉넓이를S,부피를	⑵뿔의부피  	⑵뿔의부피  	•(반구의 부피)=;2!;×;3$;prÜ`
Ⅴ. 평면도형과입체도형	입체도형의 겉넓이와 부피	2 뿔과 구의 겉넓이와 부피	2. 구의 겉넓이와 부피 반지름의길이가r인구의겉넓이를S,부피를	⑵뿔의부피  	⑵뿔의부피  	•(반구의 부피)=;3;@ prÜ`
